leaf_id,parent_id,x,y,z,P,Sw,Sg
496,97,887.5,237.5,37.5,200,0.2,0.05
497,98,912.5,212.5,12.5,200,0.2,0.05
498,98,937.5,212.5,12.5,200,0.2,0.05
499,98,912.5,237.5,12.5,200,0.2,0.05
500,98,937.5,237.5,12.5,200,0.2,0.05
501,98,912.5,212.5,37.5,200,0.2,0.05
502,98,937.5,212.5,37.5,200,0.2,0.05
503,98,912.5,237.5,37.5,200,0.2,0.05
504,98,937.5,237.5,37.5,200,0.2,0.05
505,99,962.5,212.5,12.5,200,0.2,0.05
506,99,987.5,212.5,12.5,200,0.2,0.05
507,99,962.5,237.5,12.5,200,0.2,0.05
508,99,987.5,237.5,12.5,200,0.2,0.05
